year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2024,常规批第2次,普通类,A589,海南大学,0T,高分子材料与工程（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4600
2024,常规批第2次,普通类,A593,广西大学,15,化学类（化学、应用化学）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,5971
2024,常规批第2次,普通类,A595,桂林电子科技大学,2F,本科预科班（招收边防军人子女）,不限,,1,6,8000
2024,常规批第2次,普通类,A598,广西医科大学,17,药学(中澳学分互认联合培养项目)（不招色盲色弱，英语成绩不低于105分。与澳大利亚麦考瑞大学合作，采取“2+2”分段培养模式，第三、四学年需赴澳大利亚学习攻读学位，出国费用另计。具体请查阅学校招生章程及项目招生简章）,物理和化学,,4,2,6400
2024,常规批第2次,普通类,A608,广西民族大学,1J,化学（不招色盲、色弱考生。思源湖校区）,物理和化学,,4,1,5550
2024,常规批第2次,普通类,A623,西华大学,2F,本科预科班（招收边防军人子女）,不限,,1,2,12000
2024,常规批第2次,普通类,A624,中国民用航空飞行学院,0S,工商管理（新增计划）（要求高考成绩不低于521分）,不限,,4,2,4800
2024,常规批第2次,普通类,A624,中国民用航空飞行学院,0T,市场营销（新增计划）（要求高考成绩不低于521分）,不限,,4,1,4800
2024,常规批第2次,普通类,A624,中国民用航空飞行学院,0U,公共事业管理（新增计划）（要求高考成绩不低于521分）,不限,,4,1,4800
2024,常规批第2次,普通类,A664,遵义师范学院,0J,生物科学(师范类)（退档后缺额计划）（不招色盲、色弱考生）,物理和化学和生物,,4,1,4200
2024,常规批第2次,普通类,A703,西安建筑科技大学,16,储能科学与工程（草堂校区）（新增计划）（要求高考文化成绩不低于562分）,物理和化学,,4,1,6480
2024,常规批第2次,普通类,A703,西安建筑科技大学,19,工商管理（草堂校区）（新增计划）（要求高考文化成绩不低于563分）,不限,,4,1,5400
2024,常规批第2次,普通类,A703,西安建筑科技大学,41,工程力学（草堂校区）（新增计划）（要求高考文化成绩不低于559分）,物理和化学,,4,1,6000
2024,常规批第2次,普通类,A721,宝鸡文理学院,40,材料化学（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,6000
