year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,173,121,678727,34,305408,28,290994,45,262129,86,363199,86,368072,81,446315
2025,172,121,678848,26,305434,20,291014,25,262154,96,363295,101,368173,94,446409
2025,171,121,678969,22,305456,18,291032,38,262192,92,363387,101,368274,91,446500
2025,170,119,679088,27,305483,19,291051,37,262229,88,363475,94,368368,92,446592
2025,169,120,679208,25,305508,25,291076,45,262274,81,363556,90,368458,93,446685
2025,168,115,679323,24,305532,20,291096,43,262317,80,363636,90,368548,82,446767
2025,167,137,679460,29,305561,26,291122,45,262362,102,363738,106,368654,102,446869
2025,166,88,679548,20,305581,14,291136,26,262388,64,363802,68,368722,69,446938
2025,165,117,679665,28,305609,25,291161,41,262429,81,363883,95,368817,80,447018
2025,164,96,679761,22,305631,17,291178,36,262465,70,363953,74,368891,69,447087
2025,163,120,679881,22,305653,22,291200,34,262499,90,364043,95,368986,94,447181
2025,162,102,679983,19,305672,17,291217,31,262530,75,364118,79,369065,78,447259
2025,161,112,680095,24,305696,25,291242,41,262571,72,364190,87,369152,84,447343
2025,160,99,680194,16,305712,14,291256,25,262596,75,364265,82,369234,80,447423
2025,159,108,680302,22,305734,17,291273,34,262630,83,364348,85,369319,75,447498
2025,158,110,680412,15,305749,14,291287,31,262661,91,364439,89,369408,85,447583
2025,157,92,680504,13,305762,15,291302,30,262691,73,364512,74,369482,70,447653
2025,156,85,680589,14,305776,12,291314,34,262725,59,364571,65,369547,61,447714
2025,155,105,680694,16,305792,18,291332,38,262763,75,364646,84,369631,77,447791
2025,154,97,680791,20,305812,17,291349,42,262805,65,364711,73,369704,65,447856
2025,153,87,680878,14,305826,9,291358,25,262830,71,364782,73,369777,68,447924
2025,152,79,680957,20,305846,17,291375,25,262855,61,364843,58,369835,55,447979
2025,151,86,681043,17,305863,14,291389,23,262878,64,364907,72,369907,67,448046
2025,150,84,681127,21,305884,14,291403,27,262905,60,364967,62,369969,60,448106
